step,mloss,gloss,loss
21800.0,0.5869,0.1183,0.7051999999999999
21900.0,0.6023,0.1189,0.7212
22000.0,0.6033,0.1223,0.7255999999999999
22100.0,0.6023,0.124,0.7263
22200.0,0.6025,0.1219,0.7244
22300.0,0.6016,0.1187,0.7203
22400.0,0.6124,0.1218,0.7342000000000001
22500.0,0.5887,0.1224,0.7111
22600.0,0.5832,0.1207,0.7039000000000001
22700.0,0.594,0.121,0.715
22800.0,0.6043,0.1234,0.7276999999999999
22900.0,0.597,0.1197,0.7167
23000.0,0.5729,0.1192,0.6920999999999999
23100.0,0.592,0.1172,0.7091999999999999
23200.0,0.5865,0.1195,0.706
23300.0,0.6187,0.1193,0.738
23400.0,0.6188,0.1215,0.7403
23500.0,0.5943,0.1175,0.7118
23600.0,0.6003,0.1194,0.7197
23700.0,0.5875,0.1171,0.7046
23800.0,0.5949,0.1193,0.7142
23900.0,0.5791,0.1175,0.6965999999999999
24000.0,0.5789,0.1181,0.697
24100.0,0.6071,0.1185,0.7256
24200.0,0.5935,0.1192,0.7127
24300.0,0.5908,0.1197,0.7105
24400.0,0.5625,0.1154,0.6779
24500.0,0.5867,0.1211,0.7078
24600.0,0.5921,0.1178,0.7099
24700.0,0.5987,0.119,0.7177
24800.0,0.5756,0.1181,0.6937
24900.0,0.6048,0.1181,0.7229
25000.0,0.5803,0.1163,0.6966
25100.0,0.5917,0.1154,0.7071000000000001
25200.0,0.6108,0.1172,0.728
25300.0,0.5778,0.1168,0.6946
25400.0,0.5765,0.1184,0.6949000000000001
25500.0,0.5794,0.1183,0.6977
25600.0,0.594,0.1156,0.7096
25700.0,0.5847,0.117,0.7017
25800.0,0.5849,0.1161,0.701
25900.0,0.5861,0.1198,0.7059
26000.0,0.5693,0.1161,0.6854
26100.0,0.6012,0.1184,0.7196
26200.0,0.579,0.1172,0.6961999999999999
26300.0,0.5995,0.1177,0.7172000000000001
26400.0,0.6063,0.1171,0.7233999999999999
26500.0,0.5829,0.1185,0.7014
26600.0,0.5881,0.1168,0.7049
26700.0,0.5991,0.1157,0.7148
26800.0,0.5808,0.1144,0.6952
26900.0,0.5903,0.1168,0.7071000000000001
27000.0,0.5958,0.115,0.7108
27100.0,0.5804,0.1149,0.6953
27200.0,0.5999,0.1174,0.7173
27300.0,0.5872,0.1172,0.7044
27400.0,0.5889,0.1158,0.7047
27500.0,0.5912,0.1164,0.7076
27600.0,0.6212,0.1146,0.7358
27700.0,0.592,0.113,0.705
27800.0,0.5911,0.1164,0.7075
27900.0,0.5932,0.1156,0.7088
28000.0,0.5815,0.1167,0.6982
28100.0,0.6005,0.116,0.7165
28200.0,0.5876,0.1143,0.7019
28300.0,0.5861,0.1126,0.6987
28400.0,0.5901,0.1154,0.7055
28500.0,0.5888,0.1163,0.7051
28600.0,0.5895,0.1169,0.7064
28700.0,0.587,0.1148,0.7018
28800.0,0.5827,0.116,0.6987
28900.0,0.584,0.116,0.7
29000.0,0.5787,0.1138,0.6925
29100.0,0.5805,0.1153,0.6958
29200.0,0.5779,0.115,0.6929
29300.0,0.6003,0.1153,0.7155999999999999
29400.0,0.5827,0.117,0.6997
29500.0,0.5911,0.1158,0.7069
29600.0,0.6038,0.114,0.7178
29700.0,0.585,0.1142,0.6991999999999999
29800.0,0.5913,0.1165,0.7078000000000001
29900.0,0.5887,0.1143,0.703
30000.0,0.5965,0.113,0.7095
